Accident_ID,Area,Date,Time,Vehicle_Type,Driver_Age,Cause,Injuries,Deaths,Weather
1009,t nagar,2022-01-27 00:00:00,21:41,Bike,60.0,Drunk Driving,3,1,Clear
1015,   Anna Nagar,2024-06-03 00:00:00,2:59,bus ,60.0,Drunk Driving,5,1,RAINY
1064,,03-03-2024,3:8,Auto,,Signal Jump,0,1,Cloudy
1028,Porur,2024-05-26 00:00:00,4:2,Bus,30.0,,1,2,
1089,t nagar,2024-04-27 00:00:00,3:60,,17.0,overspeed,3,2,
1093,t nagar,2022-02-27 00:00:00,24:2,Truck,30.0,Signal Jump,5,-1,RAINY
1029,Guindy,2024-04-13 00:00:00,2:49,bike,60.0,,2,3,
1008,T Nagar,2024-04-05 00:00:00,13:4,Bus,60.0,Wrong Turn,4,-1,Clear
1073,t nagar,2022-04-17 00:00:00,, truck,22.0,overspeed,1,-1,
1000,Guindy,2023-08-05 00:00:00,19:27,bike,15.0,Wrong Turn,3,-1,clear
1040,T Nagar,19-05-2023,16:58,AUTO,30.0,Wrong Turn,3,0,
1036,,2022-03-03 00:00:00,,Bus,17.0,Distracted Driving,5,2,Rainy
1016,Chromepet,2022-04-19 00:00:00,2:19,Truck,22.0,overspeed,1,1,Clear
1011,Guindy,2022-05-29 00:00:00,14:64,,120.0,Wrong Turn,5,0,Rainy
1054,Adyar,2022-07-13 00:00:00,12:54,,45.0,Distracted Driving,0,3,
1088,Adyar,2024-04-30 00:00:00,10:21,Bus,45.0,signal jump,4,3,Clear
1062,Velachery,2023-12-06 00:00:00,8:38,Truck,60.0,Over Speed,0,1,Cloudy
1033,Anna Nagar,2023-03-28 00:00:00,1:42,CAR,22.0,,3,1,Clear
1072,Velachery,2023-11-06 00:00:00,18:41,bus ,60.0,,5,-1,Clear
1078,Chromepet,07-02-2023,22:14,,17.0,overspeed,5,3,RAINY
1049,OMR,2022-02-16 00:00:00,,Bike,17.0,,0,1,Rainy
1051,guindy,2022-04-21 00:00:00,12:12,Bus,,Drunk Driving,2,3,
1054,,2023-12-13 00:00:00,,,22.0,,3,3,Clear
1077,Perungudi,19-05-2024,19:55,bus ,,Distracted Driving,1,0,Clear
1069,,2022-09-20 00:00:00,15:60,Bus,15.0,Distracted Driving,2,3,
1013,Chromepet,,2:53,CAR,22.0,,0,3,RAINY
1025,Anna Nagar,2024-06-13 00:00:00,16:56,Truck,15.0,Drunk Driving,1,0,
1013,,2022-04-30 00:00:00,14:10,Bike,17.0,Drunk Driving,-1,1,clear
1092,Anna Nagar,,4:21,AUTO,17.0,Wrong Turn,4,3,clear
1086,Guindy,2022-08-09 00:00:00,8:4,Bus,17.0,overspeed,-1,-1,Clear
1030,Chromepet,2022-06-08 00:00:00,19:48,Car,,Distracted Driving,-1,2,
1030,OMR,2022-12-14 00:00:00,18:16,Car,120.0,signal jump,1,3,Clear
1089,,15-04-2024,8:17,CAR,60.0,overspeed,3,1,RAINY
1012,Adyar,2023-10-02 00:00:00,,bus ,45.0,,4,1,Cloudy
1065,,,5:67,Car,,Distracted Driving,1,0,Cloudy
1031,,2022-08-11 00:00:00,10:4,,,Over Speed,4,-1,RAINY
1057,,2023-09-26 00:00:00,24:30,Bike,17.0,Wrong Turn,2,0,
1036,OMR,2023-08-17 00:00:00,20:31,CAR,30.0,Drunk Driving,-1,1,Rainy
1027,Guindy,2022-09-22 00:00:00,13:13,Bus,,,5,-1,
1018,Porur,2023-10-30 00:00:00,12:28,Bike,,Drunk Driving,4,-1,clear
1093,Velachery,2022-02-02 00:00:00,24:63,bike,45.0,,0,-1,Rainy
1077,Perungudi,2023-12-15 00:00:00,3:1,AUTO,17.0,Drunk Driving,3,-1,Rainy
1022,Anna Nagar,2022-01-09 00:00:00,17:25,,15.0,overspeed,0,1,clear
1023,Porur,2023-10-28 00:00:00,14:65,,17.0,Drunk Driving,2,2,Cloudy
1094,t nagar,2022-04-24 00:00:00,11:4,bus ,120.0,overspeed,5,2,
1011,VELACHERY,2023-04-27 00:00:00,11:19,bus ,22.0,Signal Jump,0,0,RAINY
1028,Velachery,2022-12-16 00:00:00,5:67,Auto,22.0,overspeed,1,0,Cloudy
1074,Anna Nagar,2022-06-05 00:00:00,,,30.0,Over Speed,4,0,Cloudy
1088,VELACHERY,2023-01-22 00:00:00,5:45,CAR,22.0,Distracted Driving,3,2,
1009,T Nagar,,3:29,bike,30.0,Over Speed,-1,0,
1015,   Anna Nagar,2023-11-17 00:00:00,6:7,,,,1,-1,
1018,Adyar,2023-02-17 00:00:00,19:35,bus ,60.0,signal jump,2,1,
1080,Anna Nagar,2023-12-05 00:00:00,15:57,AUTO,22.0,,5,3,Cloudy
1071,Perungudi,2024-05-09 00:00:00,1:31,Car,22.0,Wrong Turn,5,3,
1088,VELACHERY,2023-07-21 00:00:00,18:15,bus ,60.0,Distracted Driving,5,-1,RAINY
1011,Porur,2023-09-25 00:00:00,,,45.0,,4,1,
1017,Velachery,2023-04-06 00:00:00,15:8,Truck,22.0,Distracted Driving,5,0,
1046,Guindy,2022-06-24 00:00:00,8:22,Bike,60.0,Over Speed,2,1,
1007,Guindy,2023-04-19 00:00:00,5:50,Auto,22.0,Signal Jump,0,1,
1075,Guindy,31-01-2024,0:68,bus ,22.0,,1,1,
1028,,2022-07-05 00:00:00,0:44,Truck,17.0,Distracted Driving,0,2,Clear
1033,Anna Nagar,,,bike,,Signal Jump,4,1,Rainy
1084,OMR,2022-03-22 00:00:00,4:34,CAR,17.0,Over Speed,3,1,clear
1096,OMR,22-01-2023,14:61,Car,60.0,Over Speed,2,3,Clear
1088,VELACHERY,2022-08-11 00:00:00,17:58,,120.0,Over Speed,0,2,
1044,OMR,2022-10-03 00:00:00,16:13,,15.0,,4,0,Cloudy
1005,   Anna Nagar,2024-01-31 00:00:00,17:24,Truck,22.0,Drunk Driving,-1,0,Cloudy
1004,T Nagar,2024-04-10 00:00:00,20:29,,17.0,signal jump,0,2,Rainy
1071,Porur,2024-02-26 00:00:00,1:39,Truck,60.0,Signal Jump,3,1,Cloudy
1088,T Nagar,2022-07-07 00:00:00,8:7,Truck,120.0,signal jump,5,1,Rainy
1088,,2022-06-15 00:00:00,24:61,Car,120.0,signal jump,1,3,Cloudy
1050,Tambaram,,4:64,AUTO,17.0,Distracted Driving,2,3,RAINY
1054,Guindy,,9:23,Car,120.0,,5,-1,
1034,Velachery,2022-02-10 00:00:00,9:58,Bike,30.0,overspeed,4,2,clear
1015,guindy,2023-11-16 00:00:00,25:46,AUTO,120.0,,3,1,
1077,T Nagar,2022-03-24 00:00:00,,Truck,,Wrong Turn,1,1,clear
1088,guindy,2023-05-26 00:00:00,19:68,CAR,30.0,Drunk Driving,0,-1,RAINY
1015,   Anna Nagar,2024-04-29 00:00:00,3:30, truck,,,0,0,Rainy
1006,Perungudi,2023-05-06 00:00:00,0:70,Bus,120.0,Over Speed,0,-1,Clear
1085,Guindy,,0:0,Truck,60.0,Distracted Driving,2,2,clear
1022,Perungudi,2022-10-04 00:00:00,25:7,Car,30.0,signal jump,1,2,Cloudy
1011,VELACHERY,17-03-2024,18:2,Bus,60.0,Over Speed,-1,3,Clear
1012,Tambaram,2022-11-27 00:00:00,6:54,,120.0,overspeed,4,1,clear
1092,Perungudi,2023-03-06 00:00:00,1:1,AUTO,15.0,signal jump,4,2,clear
1096,T Nagar,2022-09-21 00:00:00,,AUTO,60.0,,4,1,clear
1062,Velachery,2023-05-28 00:00:00,,AUTO,,Drunk Driving,4,0,
1057,Tambaram,2023-12-17 00:00:00,12:14,,17.0,signal jump,-1,2,Cloudy
1079,guindy,2022-05-31 00:00:00,20:8,,30.0,Signal Jump,3,1,
1042,   Anna Nagar,2023-01-05 00:00:00,,CAR,30.0,,1,2,
1057,T Nagar,2023-01-13 00:00:00,2:4,,30.0,Drunk Driving,2,2,Rainy
1097,Velachery,2024-05-23 00:00:00,17:0, truck,60.0,,0,2,RAINY
1050,T Nagar,2023-12-14 00:00:00,24:27,bus ,60.0,overspeed,1,-1,Clear
1045,Tambaram,2023-06-28 00:00:00,24:51,,22.0,Wrong Turn,-1,0,Clear
1040,Tambaram,2022-10-21 00:00:00,,AUTO,60.0,,3,1,Clear
1089,Tambaram,2022-03-26 00:00:00,15:59,Auto,17.0,,4,1,clear
1073,,2024-03-29 00:00:00,19:20,Bus,15.0,Signal Jump,2,3,RAINY
1037,,2023-04-03 00:00:00,11:35,Truck,22.0,,5,0,Rainy
1000,Perungudi,2022-09-29 00:00:00,6:50,,22.0,Over Speed,2,2,
1018,T Nagar,2022-07-30 00:00:00,5:26,Bike,30.0,,-1,1,
1023,,2023-08-24 00:00:00,17:7,bike,120.0,Over Speed,5,0,clear
1003,OMR,2024-04-30 00:00:00,22:65,bike,,,2,1,Cloudy
1029,Guindy,2022-08-21 00:00:00,25:45,Bus,30.0,,0,0,
1016,OMR,2024-01-28 00:00:00,23:55,Bus,30.0,signal jump,4,2,clear
1084,Tambaram,2022-02-21 00:00:00,20:15,bus ,30.0,Signal Jump,1,2,RAINY
1082,guindy,2024-04-30 00:00:00,10:28,Bus,17.0,,1,3,RAINY
1014,VELACHERY,2022-05-10 00:00:00,24:54,Bike,17.0,,1,1,
1051,VELACHERY,2024-05-24 00:00:00,7:67,Bus,45.0,overspeed,0,0,Clear
1079,Adyar,2024-03-30 00:00:00,18:55,bike,30.0,overspeed,1,0,
1017,t nagar,2023-03-31 00:00:00,4:1,Truck,22.0,Drunk Driving,4,3,RAINY
1050,T Nagar,19-05-2022,13:35,Car,17.0,Distracted Driving,5,3,clear
1053,Adyar,2022-04-28 00:00:00,22:5,bus ,,signal jump,2,3,RAINY
